Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
1,3,5,0.5574,0.052985280975,0.325147448701,0.924615013482,12.0,0.0,Baseline,0.924615013482,0.862997640329,0.913708466066
1,3,5,0.5024,0.0573937278803,0.260045438854,0.857883125837,9.0,0.0,M-runs,0.857883125837,0.87959009846,0.861351822005
1,3,5,0.1712,0.0577118705294,0.104307194674,0.986359188244,15.55,2.43874967965,SM-runs,0.986359188244,0.954734384579,0.980917733858
1,5,5,0.34385,0.0543693617766,0.200125067013,0.954381975706,20.0,0.0,Baseline,0.954381975706,0.913038916609,0.947203005584
1,5,5,0.3139,0.0586931852944,0.169948206128,0.929373545791,15.25,0.433012701892,M-runs,0.929373545791,0.923445780376,0.92831400307
1,5,5,0.1274,0.0676316493958,0.0758004069874,0.987418183781,16.2,2.29346898824,SM-runs,0.987418183781,0.966412880793,0.983795569959
1,10,5,0.12345,0.0205899854298,0.0746251197755,0.988813529415,41.0,0.0,Baseline,0.988813529415,0.967137627033,0.985129479535
1,10,5,0.1168,0.0279742738958,0.0681116018191,0.98397887403,31.8,0.4,M-runs,0.98397887403,0.969732830845,0.981570509129
1,10,5,0.0671,0.0252168594397,0.0383616532446,0.988980796691,19.8,0.871779788708,SM-runs,0.988980796691,0.98288208846,0.987946003109
2,3,5,0.40785,0.0404466005988,0.240943774564,0.948127061239,12.0,0.0,Baseline,0.948127061239,0.898048574656,0.939381275557
2,3,5,0.32305,0.0432648529409,0.172998711486,0.919577508049,9.0,0.0,M-runs,0.919577508049,0.922364121057,0.919992870995
2,3,5,0.1115,0.0401553234329,0.0675833212375,0.989889991287,10.5,1.59687194227,SM-runs,0.989889991287,0.970420742988,0.986575016062
2,5,5,0.2158,0.0224690898792,0.12920952816,0.976730199662,21.0,0.0,Baseline,0.976730199662,0.944073076061,0.971125833171
2,5,5,0.16315,0.0265410531065,0.0912154336736,0.96789896723,16.0,0.0,M-runs,0.96789896723,0.959518187781,0.966473271116
2,5,5,0.0769,0.0285410231071,0.0460322287957,0.99181269784,12.0,1.51657508881,SM-runs,0.99181269784,0.979651211466,0.989754861305
2,10,5,0.0593,0.0130387882873,0.0366764656877,0.995261690542,42.0,0.0,Baseline,0.995261690542,0.984057325989,0.993374651826
2,10,5,0.05055,0.0141048750438,0.0304198572106,0.994174445734,33.0,0.4472135955,M-runs,0.994174445734,0.986712073892,0.992918870257
2,10,5,0.0663,0.0304845862691,0.0407217712095,0.99381247172,13.4,0.969535971483,SM-runs,0.99381247172,0.98244496235,0.99188753262
3,3,5,0.3085,0.0411211624349,0.182427168097,0.963600186872,12.0,0.0,Baseline,0.963600186872,0.921260989483,0.956260812474
3,3,5,0.26175,0.0387722516757,0.142582042414,0.941796374714,9.5,0.5,M-runs,0.941796374714,0.935981057219,0.94079864474
3,3,5,0.0786,0.0284383543828,0.046982961021,0.991920154676,8.9,1.51327459504,SM-runs,0.991920154676,0.97911080811,0.989752400645
3,5,5,0.13195,0.0258640194092,0.0784400001302,0.987644178064,21.0,0.0,Baseline,0.987644178064,0.964740845267,0.983749493584
3,5,5,0.11975,0.022746153521,0.0666976087971,0.978866332186,16.3,0.458257569496,M-runs,0.978866332186,0.969537582204,0.977289449588
3,5,5,0.07175,0.0252900672202,0.0416614161549,0.99049307116,8.95,1.02347447452,SM-runs,0.99049307116,0.981188220629,0.988921857462
3,10,5,0.0337,0.0122560189295,0.0212291706465,0.997924765489,43.0,0.0,Baseline,0.997924765489,0.990794471229,0.996727282008
3,10,5,0.0274,0.0102586548826,0.016389598901,0.996561758621,33.7,0.458257569496,M-runs,0.996561758621,0.992822629292,0.995935313135
3,10,5,0.05785,0.0296770534252,0.0348033320383,0.993379614198,10.45,1.07121426428,SM-runs,0.993379614198,0.984806399246,0.991933886363
4,3,5,0.25715,0.0377746939101,0.153132564777,0.971155291177,13.0,0.0,Baseline,0.971155291177,0.933913388922,0.964716299794
4,3,5,0.2065,0.0318268754357,0.115440171733,0.95971844877,9.95,0.217944947177,M-runs,0.95971844877,0.948801349147,0.957854497035
4,3,5,0.0663,0.0300451327173,0.0389265827466,0.99123614618,7.2,0.92736184955,SM-runs,0.99123614618,0.982743892246,0.98979835113
4,5,5,0.10465,0.0202194831784,0.0646537197502,0.990794541622,22.0,0.0,Baseline,0.990794541622,0.972303738899,0.987659345905
4,5,5,0.10365,0.0231997306019,0.0606176200839,0.983573663707,17.0,0.0,M-runs,0.983573663707,0.973756460715,0.981915276459
4,5,5,0.04605,0.0209200262906,0.0267810201746,0.992389003437,8.15,0.909670269933,SM-runs,0.992389003437,0.988352819328,0.991708260702
4,10,5,0.02305,0.0107493023029,0.0144832552515,0.998845053276,44.0,0.0,Baseline,0.998845053276,0.993612094656,0.997967162085
4,10,5,0.0157,0.00781088983407,0.00962519152358,0.998640838821,34.35,0.476969600708,M-runs,0.998640838821,0.995759836729,0.998158338068
4,10,5,0.05325,0.0268437609139,0.0315245881613,0.992111763268,9.05,0.668954408013,SM-runs,0.992111763268,0.986419803908,0.991148028744
5,3,5,0.2099,0.0237526840589,0.127883305425,0.978903296941,13.0,0.0,Baseline,0.978903296941,0.945623909375,0.97318842561
5,3,5,0.1865,0.0292480768599,0.107032755765,0.966177027399,10.0,0.0,M-runs,0.966177027399,0.953688780465,0.964052297342
5,3,5,0.08505,0.0459439604301,0.0535528649419,0.994176434916,6.6,0.969535971483,SM-runs,0.994176434916,0.977276363727,0.991296261957
5,5,5,0.09595,0.0215719146114,0.0579886348801,0.991715408045,22.0,0.0,Baseline,0.991715408045,0.974270424489,0.98875759453
5,5,5,0.0855,0.0164271117364,0.0493167356061,0.987693696535,17.25,0.433012701892,M-runs,0.987693696535,0.977836781549,0.986028553635
5,5,5,0.0658,0.0401479762877,0.0391420038655,0.993034533805,7.35,0.792148975888,SM-runs,0.993034533805,0.982579526018,0.991256559804
5,10,5,0.0195,0.00869770084563,0.0119668443323,0.99890481634,45.0,0.0,Baseline,0.99890481634,0.99456210024,0.998177403127
5,10,5,0.01775,0.00908226293387,0.0106195462437,0.998902831246,35.45,0.497493718553,M-runs,0.998902831246,0.995016804896,0.998251793443
5,10,5,0.0517,0.0470564554551,0.0299830677779,0.993488774037,8.65,0.476969600708,SM-runs,0.993488774037,0.986437470124,0.992283816439
6,3,5,0.1942,0.0296084447413,0.118215313885,0.981363533085,13.0,0.0,Baseline,0.981363533085,0.949426890115,0.975876122659
6,3,5,0.16685,0.0367740057649,0.0937819287269,0.966264120667,10.05,0.217944947177,M-runs,0.966264120667,0.959002267153,0.965014835304
6,3,5,0.08435,0.0502993787238,0.0519166735822,0.992634431754,6.15,1.01365674664,SM-runs,0.992634431754,0.977676110261,0.990084648809
6,5,5,0.08295,0.020298953175,0.0501932957737,0.99280021813,23.0,0.0,Baseline,0.99280021813,0.977713781453,0.99024688815
6,5,5,0.06655,0.0172292628978,0.0370288486813,0.987216869903,17.8,0.4,M-runs,0.987216869903,0.983289179019,0.986554185633
6,5,5,0.06255,0.0357204073325,0.0375014237989,0.993032903961,7.0,0.707106781187,SM-runs,0.993032903961,0.983568222689,0.991422770852
6,10,5,0.0172,0.00732529862872,0.0107593777128,0.998980357795,46.0,0.0,Baseline,0.998980357795,0.99526009816,0.998357142071
6,10,5,0.01135,0.00618283915366,0.00697185946367,0.99913483705,36.0,0.316227766017,M-runs,0.99913483705,0.99689663788,0.998760686556
6,10,5,0.04065,0.0214179247361,0.0240722729945,0.994717695396,8.25,0.536190264738,SM-runs,0.994717695396,0.989399723946,0.993820273804
7,3,5,0.17515,0.0246298091751,0.105380235825,0.982430607814,14.0,0.0,Baseline,0.982430607814,0.954168749775,0.977596926407
7,3,5,0.15245,0.036886955689,0.0858441294733,0.971454833836,10.7,0.458257569496,M-runs,0.971454833836,0.961990166475,0.969847774821
7,3,5,0.08875,0.0348308412187,0.0543006927931,0.992389769914,5.85,0.792148975888,SM-runs,0.992389769914,0.976328357863,0.989664719933
7,5,5,0.0649,0.0152115088009,0.0393361968629,0.994005951031,23.0,0.0,Baseline,0.994005951031,0.982621451428,0.992086145567
7,5,5,0.0645,0.0174341618669,0.0362483576773,0.988052830665,18.05,0.217944947177,M-runs,0.988052830665,0.983759429468,0.987328359312
7,5,5,0.0627,0.0351042732442,0.0382781669694,0.994642086267,6.65,0.572276157113,SM-runs,0.994642086267,0.983231254251,0.992704568381
7,10,5,0.01245,0.0068591180191,0.00771980772501,0.999347605896,47.0,0.0,Baseline,0.999347605896,0.996527703419,0.998875754531
7,10,5,0.009,0.00807465169527,0.00546555671576,0.999274331663,37.0,0.4472135955,M-runs,0.999274331663,0.997538184984,0.99898380898
7,10,5,0.04215,0.02430488634,0.024052271005,0.99324215127,8.2,0.509901951359,SM-runs,0.99324215127,0.989188428227,0.992555328215
8,3,5,0.16465,0.0298215945248,0.0981838617087,0.983766876843,14.0,0.0,Baseline,0.983766876843,0.95658562409,0.979119664019
8,3,5,0.1555,0.0215789249037,0.0865650712894,0.970927998808,11.0,0.0,M-runs,0.970927998808,0.960966489304,0.969241389439
8,3,5,0.0703,0.0525576825973,0.0421681192772,0.992666615981,6.1,0.994987437107,SM-runs,0.992666615981,0.981501008953,0.990757363795
8,5,5,0.0649,0.0138416039533,0.040231980958,0.993709516834,24.0,0.0,Baseline,0.993709516834,0.982885077091,0.991885353028
8,5,5,0.0571,0.0177817321991,0.033148456711,0.9901972453,18.6,0.489897948557,M-runs,0.9901972453,0.985652954137,0.989432863078
8,5,5,0.0657,0.0369920261678,0.0410693272366,0.994339880298,6.55,0.668954408013,SM-runs,0.994339880298,0.98262583317,0.99235485764
8,10,5,0.01125,0.00708431365765,0.00690728871386,0.999632761171,48.0,0.0,Baseline,0.999632761171,0.996780896954,0.999155727935
8,10,5,0.007,0.00451663591625,0.0039363526635,0.998905333765,37.85,0.357071421427,M-runs,0.998905333765,0.998169283146,0.998782188869
8,10,5,0.0552,0.0248185414559,0.032760420495,0.994983287693,8.0,0.4472135955,SM-runs,0.994983287693,0.985053190599,0.99330629031
9,3,5,0.16305,0.0366694355015,0.09935146915,0.98477450194,14.0,0.0,Baseline,0.98477450194,0.957266053525,0.980065729616
9,3,5,0.1431,0.0302785402554,0.0822553312213,0.976043962889,11.0,0.0,M-runs,0.976043962889,0.963950854611,0.973991140705
9,3,5,0.07795,0.0442961341428,0.0479656943789,0.993946879143,5.8,0.812403840464,SM-runs,0.993946879143,0.979136340625,0.991427900158
9,5,5,0.06445,0.0185134410632,0.0397396409024,0.995736427892,24.0,0.0,Baseline,0.995736427892,0.982440243053,0.993491198428
9,5,5,0.05255,0.0111016890607,0.0301781299557,0.991269677821,19.0,0.0,M-runs,0.991269677821,0.986613436437,0.990489144122
9,5,5,0.05435,0.0242286503958,0.033217436181,0.995494955703,6.55,0.668954408013,SM-runs,0.995494955703,0.985367265623,0.993783318436
9,10,5,0.0128,0.00693253200497,0.00795896573357,0.999561564272,49.0,0.0,Baseline,0.999561564272,0.996364623922,0.999026760269
9,10,5,0.0093,0.00535817132985,0.00561710291466,0.999199204157,38.45,0.589491306128,M-runs,0.999199204157,0.997460389675,0.998908700378
9,10,5,0.05275,0.0223380281135,0.0318445020989,0.995275567323,7.95,0.384057287393,SM-runs,0.995275567323,0.985781021504,0.993674139839
10,3,5,0.1429,0.019570130301,0.0865690667336,0.987108224357,15.0,0.0,Baseline,0.987108224357,0.962184418918,0.982854652865
10,3,5,0.1322,0.0277949635726,0.0743244861996,0.975428519175,11.05,0.217944947177,M-runs,0.975428519175,0.966881862134,0.973987847365
10,3,5,0.07165,0.0314885296576,0.0427806662414,0.992168278743,5.3,0.781024967591,SM-runs,0.992168278743,0.981075977006,0.990291031097
10,5,5,0.06175,0.0200096851549,0.0381808282791,0.995292092027,25.0,0.0,Baseline,0.995292092027,0.983337083209,0.993274128682
10,5,5,0.0473,0.016882239188,0.0271854368125,0.991991577968,19.25,0.433012701892,M-runs,0.991991577968,0.987992365673,0.99131870754
10,5,5,0.0478,0.030294553966,0.0295054298656,0.995222456329,6.35,0.792148975888,SM-runs,0.995222456329,0.98739698126,0.993900260053
10,10,5,0.0094,0.00649153294685,0.00596908280806,0.999428897102,50.0,0.0,Baseline,0.999428897102,0.997428381905,0.999094373847
10,10,5,0.0074,0.00681469001496,0.0045778047672,0.999072025061,39.15,0.357071421427,M-runs,0.999072025061,0.998087222978,0.998907116916
10,10,5,0.0475,0.022924877317,0.0297885238056,0.99536829373,7.85,0.357071421427,SM-runs,0.99536829373,0.987518132252,0.99404626552
