Nt,J,Jt_opt,loss,budget,cost
0,2,2,0.325,2,1
1,2,2,0.28978978979,2.2,1
2,2,2,0.247211895911,2.4,1
3,2,2,0.208472775564,2.6,1
4,2,2,0.176259778672,2.8,1
0,3,2,0.176259778672,3,1
5,2,2,0.150534239148,3,1
6,2,2,0.13035406314,3.2,1
1,3,2,0.13035406314,3.3,1
7,2,2,0.114570521801,3.4,1
2,3,2,0.114570521801,3.6,1
8,2,2,0.102128440496,3.6,1
9,2,2,0.092174955706,3.8,1
3,3,2,0.092174955706,3.9,1
10,2,2,0.08406779665,4,1
4,3,2,0.0822506240086,4.2,1
5,3,2,0.0611592920072,4.5,1
6,3,2,0.0465465454591,4.8,1
0,5,3,0.0465465454591,5,1
7,3,2,0.0363714153795,5.1,1
8,3,2,0.0291602112048,5.4,1
1,5,3,0.0291602112048,5.5,1
9,3,2,0.0239223895205,5.7,1
2,5,3,0.0200139027446,6,1
10,3,2,0.0200139027446,6,1
3,5,3,0.0200139027446,6.5,1
4,5,3,0.0200139027446,7,1
5,5,3,0.0200139027446,7.5,1
6,5,3,0.0180448118289,8,1
7,5,3,0.0125728973973,8.5,1
8,5,3,0.00908704050891,9,1
9,5,3,0.00678852468277,9.5,1
10,5,3,0.00521737596185,10,1
0,2,2,0.53625,2,5
1,2,2,0.457746034323,2.2,5
2,2,2,0.36943933887,2.4,5
3,2,2,0.295394571867,2.6,5
4,2,2,0.238394797827,2.8,5
0,3,3,0.238394797827,3,5
5,2,2,0.195855353459,3,5
6,2,2,0.164338426695,3.2,5
1,3,3,0.164338426695,3.3,5
7,2,2,0.140823330733,3.4,5
2,3,3,0.140823330733,3.6,5
8,2,2,0.122988877213,3.6,5
9,2,2,0.109167400625,3.8,5
3,3,3,0.109167400625,3.9,5
10,2,2,0.0982025855172,4,5
4,3,3,0.0982025855172,4.2,5
5,3,2,0.0982025855172,4.5,5
6,3,2,0.0982025855172,4.8,5
0,5,4,0.0982025855172,5,5
7,3,2,0.0982025855172,5.1,5
8,3,2,0.0874806336143,5.4,5
1,5,4,0.0874806336143,5.5,5
9,3,2,0.0717671685614,5.7,5
2,5,4,0.0717671685614,6,5
10,3,2,0.0600417082338,6,5
3,5,4,0.0600417082338,6.5,5
4,5,4,0.0600417082338,7,5
5,5,3,0.0600417082338,7.5,5
6,5,3,0.0541344354867,8,5
7,5,3,0.0377186921919,8.5,5
8,5,3,0.0272611215267,9,5
9,5,3,0.0203655740483,9.5,5
10,5,3,0.0156521278856,10,5
0,2,2,0.8003125,2,10
1,2,2,0.667691339989,2.2,10
2,2,2,0.52222364257,2.4,10
3,2,2,0.404046817246,2.6,10
4,2,2,0.316063571771,2.8,10
0,3,3,0.316063571771,3,10
5,2,2,0.252506746349,3,10
6,2,2,0.206818881138,3.2,10
1,3,3,0.206818881138,3.3,10
7,2,2,0.173639341898,3.4,10
2,3,3,0.173639341898,3.6,10
8,2,2,0.149064423108,3.6,10
9,2,2,0.130407956773,3.8,10
3,3,3,0.130407956773,3.9,10
10,2,2,0.130407956773,4,10
4,3,3,0.130407956773,4.2,10
5,3,3,0.130407956773,4.5,10
6,3,3,0.130407956773,4.8,10
0,5,5,0.130407956773,5,10
7,3,3,0.130407956773,5.1,10
8,3,3,0.130407956773,5.4,10
1,5,4,0.130407956773,5.5,10
9,3,3,0.129825363979,5.7,10
2,5,4,0.129825363979,6,10
10,3,2,0.110076465095,6,10
3,5,4,0.110076465095,6.5,10
4,5,4,0.110076465095,7,10
5,5,4,0.0941790780061,7.5,10
6,5,4,0.0713667433795,8,10
7,5,4,0.0557585659938,8.5,10
8,5,4,0.0447900987866,9,10
9,5,4,0.0368493794847,9.5,10
10,5,3,0.0286955677902,10,10